"county","tract","bg","cbsa","pop10","afact"
"County code","Tract","Block group","CBSA (current)","Population (2010)","bg to cbsa allocation factor"
"01043","9648.00","1","18980",900,1 
"01043","9648.00","2","18980",909,1 
"01043","9648.00","3","18980",1398,1 
"01043","9648.00","4","18980",1082,1 
"01043","9649.00","1","18980",2121,1 
"01043","9649.00","2","18980",1381,1 
"01043","9649.00","3","18980",630,1 
"01043","9649.00","4","18980",1037,1 
"01043","9649.00","5","18980",926,1 
"01043","9649.00","6","18980",588,1 
"01043","9650.00","1","18980",762,1 
"01043","9650.00","2","18980",1361,1 
"01043","9650.00","3","18980",1112,1 
"01043","9650.00","4","18980",944,1 
"01043","9650.00","5","18980",592,1 
"01043","9650.00","6","18980",1300,1 
"01043","9651.00","1","18980",1815,1 
"01043","9651.00","2","18980",1763,1 
"01043","9652.00","1","18980",1032,1 
"01043","9652.00","2","18980",1277,1 
"01043","9653.00","1","18980",1373,1 
"01043","9653.00","2","18980",1643,1 
"01043","9653.00","3","18980",1523,1 
"01043","9654.01","1","18980",1176,1 
"01043","9654.01","2","18980",2134,1 
"01043","9654.02","1","18980",1009,1 
"01043","9654.02","2","18980",1307,1 
"01043","9654.02","3","18980",1059,1 
"01043","9654.02","4","18980",814,1 
"01043","9655.00","1","18980",2272,1 
"01043","9655.00","2","18980",1854,1 
"01043","9655.00","3","18980",1505,1 
"01043","9656.00","1","18980",1001,1 
"01043","9656.00","2","18980",1256,1 
"01043","9657.00","1","18980",997,1 
"01043","9657.00","2","18980",1655,1 
"01045","0200.00","1","37120",512,1 
"01045","0200.00","2","37120",2458,1 
"01045","0200.00","3","37120",1672,1 
"01045","0201.00","1","37120",895,1 
"01045","0201.00","2","37120",1746,1 
"01045","0201.00","3","37120",1182,1 
"01045","0202.00","1","37120",751,1 
"01045","0202.00","2","37120",1316,1 
"01045","0203.00","1","37120",1418,1 
"01045","0203.00","2","37120",978,1 
"01045","0204.00","1","37120",1714,1 
"01045","0204.00","2","37120",828,1 
"01045","0205.00","1","37120",740,1 
"01045","0205.00","2","37120",596,1 
"01045","0205.00","3","37120",713,1 
"01045","0207.00","1","37120",1270,1 
"01045","0207.00","2","37120",811,1 
"01045","0207.00","3","37120",734,1 
